날짜,홈팀,원정팀,홈선발,원정선발,홈점수,원정점수,승리팀
2024-07-21,SSG,키움,송영진,후라도,2,7,키움
2024-07-23,롯데,LG,김원중,유영찬,1,2,LG
2024-07-23,KIA,NC,양현종,카스타노,8,1,KIA
2024-07-23,한화,삼성,한승혁,김재윤,6,5,한화
2024-07-23,두산,키움,최준호,헤이수스,6,3,두산
2024-07-24,KIA,NC,알드레드,신민혁,7,0,KIA
2024-07-24,KT,SSG,김민,조병현,5,3,KT
2024-07-24,한화,삼성,주현상,오승환,3,2,한화
2024-07-24,두산,키움,곽빈,하영민,7,4,두산
2024-07-25,롯데,LG,박진,정우영,6,9,LG
2024-07-25,KIA,NC,김도현,하트,4,7,NC
2024-07-25,KT,SSG,고영표,오원석,4,2,KT
2024-07-25,두산,키움,시라카와,김윤하,1,6,키움
2024-07-26,키움,KIA,이종민,네일,5,4,키움
2024-07-26,삼성,KT,백정현,엄상백,1,4,KT
2024-07-26,NC,롯데,류진욱,진해수,9,2,NC
2024-07-26,SSG,두산,앤더슨,발라조빅,6,1,SSG
2024-07-27,키움,KIA,주승우,전상현,6,5,키움
2024-07-27,삼성,KT,원태인,벤자민,3,2,삼성
2024-07-27,NC,롯데,김시훈,반즈,2,9,롯데
2024-07-27,SSG,두산,조병현,이병헌,4,3,SSG
2024-07-28,키움,KIA,김성민,임기영,3,4,KIA
2024-07-28,LG,한화,최원태,박상원,6,9,한화
2024-07-28,삼성,KT,김재윤,김민,3,4,KT
2024-07-28,NC,롯데,이용찬,김원중,6,10,롯데
2024-07-28,SSG,두산,송영진,최준호,3,0,SSG
2024-07-30,KT,한화,쿠에바스,바리아,4,6,한화
2024-07-30,SSG,롯데,김광현,윤성빈,11,5,SSG
2024-07-30,키움,NC,하영민,이용준,6,2,키움
2024-07-30,KIA,두산,알드레드,곽빈,7,12,두산
2024-07-30,LG,삼성,엔스,코너,1,7,삼성
2024-07-31,KT,한화,고영표,류현진,7,18,한화
2024-07-31,SSG,롯데,문승원,현도훈,12,11,SSG
2024-07-31,키움,NC,정찬헌,하트,0,9,NC
2024-07-31,KIA,두산,김도현,시라카와,6,30,두산
2024-07-31,LG,삼성,손주영,이승현,11,5,LG
2024-08-01,KT,한화,엄상백,문동주,8,14,한화
2024-08-01,SSG,롯데,조병현,김상수,2,4,롯데
2024-08-01,키움,NC,김연주,김영규,14,9,키움
2024-08-01,KIA,두산,네일,발라조빅,0,1,두산
2024-08-01,LG,삼성,임찬규,백정현,0,7,삼성
2024-08-02,한화,KIA,김기중,황동하,10,3,한화
2024-08-02,NC,KT,한재승,박영현,7,9,KT
2024-08-02,삼성,SSG,원태인,조병현,4,3,삼성
2024-08-02,두산,키움,김강률,김선기,4,6,키움
2024-08-03,한화,KIA,와이스,양현종,3,7,KIA
2024-08-03,롯데,LG,진해수,이지강,8,3,롯데
2024-08-03,삼성,SSG,레예스,송영진,12,4,삼성
2024-08-03,두산,키움,최준호,헤이수스,5,15,키움
2024-08-04,NC,KT,이준호,쿠에바스,15,5,NC
2024-08-04,삼성,SSG,코너,김광현,8,3,삼성
2024-08-06,삼성,한화,황동재,박상원,5,8,한화
2024-08-06,KIA,KT,김도현,고영표,2,0,KIA
2024-08-06,두산,LG,이병헌,손주영,7,6,두산
2024-08-06,롯데,NC,김상수,김재열,6,5,롯데
2024-08-06,키움,SSG,김성민,문승원,2,6,SSG
2024-08-07,삼성,한화,백정현,류현진,10,6,삼성
2024-08-07,KIA,KT,네일,엄상백,2,13,KT
2024-08-07,두산,LG,발라조빅,엔스,8,4,두산
2024-08-07,롯데,NC,박진,이재학,14,7,롯데
2024-08-07,키움,SSG,김윤하,앤더슨,2,6,SSG
2024-08-08,삼성,한화,원태인,문동주,4,6,한화
2024-08-08,KIA,KT,전상현,김민수,0,1,KT
2024-08-08,두산,LG,시라카와,에르난데스,3,10,LG
2024-08-08,키움,SSG,후라도,엘리아스,3,0,키움
2024-08-09,KT,롯데,벤자민,박세웅,10,6,KT
2024-08-09,LG,NC,이지강,요키시,10,9,LG
2024-08-09,SSG,두산,김택형,김택연,11,13,두산
2024-08-09,KIA,삼성,장현식,오승환,9,8,KIA
2024-08-09,한화,키움,한승혁,양지율,7,5,한화
2024-08-10,KT,롯데,조이현,반즈,0,2,롯데
2024-08-10,LG,NC,최원태,목지훈,9,3,LG
2024-08-10,SSG,두산,이로운,김강률,6,10,두산
2024-08-10,한화,키움,와이스,김선기,1,3,키움
2024-08-11,KT,롯데,고영표,윌커슨,7,9,롯데
2024-08-11,LG,NC,유영찬,이용찬,4,3,LG
2024-08-11,SSG,두산,오원석,곽빈,11,9,SSG
2024-08-11,KIA,삼성,이형범,이상민,4,5,삼성
2024-08-11,한화,키움,바리아,하영민,3,7,키움
2024-08-13,키움,KIA,김윤하,네일,0,2,KIA
2024-08-13,삼성,KT,백정현,엄상백,7,2,삼성
2024-08-13,한화,LG,주현상,김진성,2,3,LG
2024-08-13,NC,SSG,이재학,앤더슨,0,2,SSG
2024-08-14,키움,KIA,주승우,정해영,2,1,키움
2024-08-14,삼성,KT,원태인,김민수,3,1,삼성
2024-08-14,한화,LG,한승혁,김영준,9,5,한화
2024-08-14,두산,롯데,발라조빅,김진욱,2,12,롯데
2024-08-15,키움,KIA,헤이수스,양현종,1,12,KIA
2024-08-15,삼성,KT,최지광,김민,3,5,KT
2024-08-15,한화,LG,김기중,임찬규,3,17,LG
2024-08-15,두산,롯데,홍건희,박세웅,4,3,두산
2024-08-15,NC,SSG,요키시,엘리아스,5,10,SSG
2024-08-16,SSG,한화,송영진,와이스,1,2,한화
2024-08-16,LG,KIA,유영찬,이준영,2,3,KIA
2024-08-16,KT,두산,조이현,시라카와,0,5,두산
2024-08-16,NC,삼성,임정호,김태훈,3,7,삼성
2024-08-16,롯데,키움,반즈,이종민,4,0,롯데
2024-08-17,SSG,한화,김광현,바리아,5,8,한화
2024-08-17,LG,KIA,손주영,라우어,4,14,KIA
2024-08-17,KT,두산,고영표,곽빈,2,3,두산
2024-08-17,NC,삼성,임정호,최지광,4,5,삼성
2024-08-17,롯데,키움,윌커슨,하영민,7,8,키움
2024-08-18,SSG,한화,오원석,류현진,1,7,한화
2024-08-18,LG,KIA,엔스,네일,0,4,KIA
2024-08-18,KT,두산,박영현,김택연,5,4,KT
2024-08-18,NC,삼성,이재학,백정현,3,5,삼성
2024-08-18,롯데,키움,김원중,김성민,5,4,롯데
2024-08-20,한화,NC,주현상,김재열,3,2,한화
2024-08-20,삼성,두산,원태인,발라조빅,3,0,삼성
2024-08-20,LG,SSG,박명근,노경은,4,3,LG
2024-08-20,KT,키움,김민,김동욱,2,3,키움
2024-08-21,KIA,롯데,전상현,김상수,6,5,KIA
2024-08-21,한화,NC,김도빈,이용준,2,8,NC
2024-08-21,삼성,두산,코너,최원준,2,5,두산
2024-08-21,LG,SSG,임찬규,엘리아스,1,5,SSG
2024-08-21,KT,키움,벤자민,헤이수스,5,0,KT
2024-08-22,KIA,롯데,전상현,김상수,6,4,KIA
2024-08-22,LG,SSG,최원태,송영진,13,3,LG
2024-08-22,KT,키움,김민수,김선기,3,2,KT
2024-08-23,두산,한화,시라카와,와이스,4,7,한화
2024-08-23,NC,KIA,하트,라우어,17,4,NC
2024-08-23,SSG,KT,이로운,고영표,6,11,KT
2024-08-23,키움,LG,김선기,손주영,9,3,키움
2024-08-23,삼성,롯데,최지광,박진,5,3,삼성
2024-08-24,두산,한화,이영하,이상규,6,7,한화
2024-08-24,NC,KIA,신민혁,네일,0,2,KIA
2024-08-24,SSG,KT,오원석,엄상백,3,9,KT
2024-08-24,키움,LG,김윤하,엔스,0,7,LG
2024-08-24,삼성,롯데,백정현,김상수,3,11,롯데
2024-08-25,키움,LG,주승우,김진성,6,4,키움
2024-08-25,두산,한화,발라조빅,류현진,1,3,한화
2024-08-25,NC,KIA,요키시,황동하,8,2,NC
2024-08-25,SSG,KT,노경은,쿠에바스,4,3,SSG
2024-08-25,삼성,롯데,원태인,김진욱,10,5,삼성
2024-08-27,롯데,한화,구승민,한승혁,3,1,롯데
2024-08-27,LG,KT,임찬규,벤자민,6,1,LG
2024-08-27,NC,두산,임정호,김강률,7,13,두산
2024-08-27,KIA,SSG,양현종,엘리아스,10,4,KIA
2024-08-27,키움,삼성,헤이수스,코너,0,1,삼성
2024-08-28,롯데,한화,반즈,와이스,0,7,한화
2024-08-28,LG,KT,박명근,박영현,4,8,KT
2024-08-28,NC,두산,이용찬,박치국,1,8,두산
2024-08-28,KIA,SSG,임기영,송영진,7,6,KIA
2024-08-28,키움,삼성,이종민,오승환,5,9,삼성
2024-08-29,롯데,한화,윌커슨,바리아,14,11,롯데
2024-08-29,LG,KT,유영찬,우규민,7,8,KT
2024-08-29,NC,두산,하트,박치국,10,2,NC
2024-08-29,KIA,SSG,라우어,김광현,4,10,SSG
2024-08-29,키움,삼성,이명종,임창민,0,1,삼성
2024-08-30,KT,LG,엄상백,엔스,7,11,LG
2024-08-30,키움,롯데,김윤하,정현수,2,8,롯데
2024-08-31,삼성,KIA,오승환,곽도규,13,15,KIA
2024-08-31,한화,KT,류현진,쿠에바스,2,6,KT
2024-08-31,두산,롯데,곽빈,한현희,4,7,롯데
2024-08-31,SSG,NC,앤더슨,신민혁,2,7,NC
2024-09-01,삼성,KIA,임창민,전상현,5,6,KIA
2024-09-01,두산,롯데,홍건희,나균안,3,4,롯데
2024-09-01,SSG,NC,엘리아스,요키시,2,8,NC
2024-09-03,KIA,LG,양현종,에르난데스,7,5,KIA
2024-09-03,삼성,롯데,코너,반즈,5,1,삼성
2024-09-03,한화,두산,문동주,최원준,7,1,한화
2024-09-03,NC,키움,이용준,후라도,11,5,NC
2024-09-04,KIA,한화,장현식,주현상,4,5,한화
2024-09-04,롯데,KT,김상수,김민,7,5,롯데
2024-09-04,삼성,두산,황동재,이영하,7,3,삼성
2024-09-04,LG,SSG,임찬규,오원석,5,0,LG
2024-09-04,NC,키움,하트,헤이수스,13,6,NC
2024-09-05,KIA,한화,장현식,한승주,4,3,KIA
2024-09-05,롯데,KT,정현수,조이현,2,12,KT
2024-09-05,LG,SSG,최원태,김광현,2,4,SSG
2024-09-05,NC,키움,김시훈,조영건,7,12,키움
2024-09-06,LG,한화,손주영,류현진,1,3,한화
2024-09-06,NC,KT,이준호,고영표,3,9,KT
2024-09-06,롯데,삼성,김진욱,이재익,2,7,삼성
2024-09-06,KIA,키움,황동하,김윤하,14,0,KIA
2024-09-07,LG,한화,엔스,이상규,9,3,LG
2024-09-07,삼성,NC,백정현,요키시,1,9,NC
2024-09-07,KT,두산,쿠에바스,곽빈,2,12,두산
2024-09-07,롯데,SSG,,,1,1,SSG
2024-09-07,KIA,키움,스타우트,김인범,6,2,KIA
2024-09-08,LG,한화,에르난데스,조동욱,14,3,LG
2024-09-08,삼성,NC,원태인,이용준,10,2,삼성
2024-09-08,롯데,SSG,반즈,엘리아스,6,11,SSG
2024-09-08,KIA,키움,곽도규,후라도,5,2,KIA
2024-09-10,SSG,한화,송영진,와이스,5,0,SSG
2024-09-10,LG,롯데,이종준,김원중,1,2,롯데
2024-09-10,KT,NC,벤자민,이용찬,11,8,KT
2024-09-10,키움,두산,헤이수스,발라조빅,7,1,키움
2024-09-11,SSG,롯데,김광현,나균안,2,10,롯데
2024-09-11,KT,NC,엄상백,이재학,2,1,KT
2024-09-11,한화,삼성,바리아,이승현,1,10,삼성
2024-09-11,LG,키움,함덕주,김선기,5,9,키움
2024-09-12,KIA,롯데,라우어,김진욱,10,0,KIA
2024-09-12,KT,NC,쿠에바스,임상현,10,4,KT
2024-09-12,한화,삼성,김기중,레예스,1,7,삼성
2024-09-13,롯데,한화,박세웅,류현진,4,8,한화
2024-09-14,롯데,한화,반즈,이상규,12,9,롯데
2024-09-14,SSG,삼성,문승원,최지광,11,9,SSG
2024-09-14,두산,KT,곽빈,고영표,2,1,두산
2024-09-14,NC,LG,요키시,에르난데스,7,10,LG
2024-09-14,KIA,키움,전상현,주승우,3,2,KIA
2024-09-15,롯데,한화,윌커슨,와이스,16,9,롯데
2024-09-15,NC,LG,최성영,손주영,4,1,NC
2024-09-15,SSG,삼성,한두솔,오승환,14,9,SSG
2024-09-15,KIA,키움,양현종,헤이수스,5,10,키움
2024-09-16,KT,KIA,김민,전상현,5,11,KIA
2024-09-16,두산,키움,최종인,김연주,5,4,두산
2024-09-17,NC,한화,이재학,바리아,1,4,한화
2024-09-17,SSG,KIA,김광현,김도현,2,0,SSG
2024-09-17,키움,KT,하영민,엄상백,2,4,KT
2024-09-17,롯데,LG,김상수,이종준,7,3,롯데
2024-09-17,두산,삼성,최원준,황동재,8,4,두산
2024-09-18,NC,한화,임상현,이상규,5,2,NC
2024-09-18,롯데,LG,김원중,김진성,3,5,LG
2024-09-18,KT,삼성,손동현,이상민,6,8,삼성
2024-09-19,NC,한화,이준호,박상원,6,7,한화
2024-09-19,두산,KIA,최승용,스타우트,9,4,두산
2024-09-19,롯데,LG,송재영,최원태,4,7,LG
2024-09-19,KT,삼성,소형준,백정현,12,5,KT
2024-09-19,SSG,키움,앤더슨,전준표,8,6,SSG
2024-09-21,LG,두산,에르난데스,곽빈,7,14,두산
2024-09-21,KT,SSG,고영표,엘리아스,1,4,SSG
2024-09-21,LG,두산,손주영,김민규,2,0,LG
2024-09-22,한화,롯데,김서현,반즈,8,4,한화
2024-09-22,LG,두산,엔스,발라조빅,9,5,LG
2024-09-22,KT,SSG,벤자민,김광현,2,6,SSG
2024-09-22,삼성,키움,원태인,후라도,9,8,삼성
2024-09-23,한화,롯데,주현상,구승민,2,3,롯데
2024-09-23,두산,SSG,이영하,송영진,8,4,두산
2024-09-23,KIA,삼성,김기훈,이승민,5,3,KIA
2024-09-24,키움,한화,김동욱,김서현,5,4,키움
2024-09-24,SSG,LG,앤더슨,임찬규,5,14,LG
2024-09-24,KT,롯데,소형준,한현희,5,1,KT
2024-09-24,두산,NC,최승용,이재학,10,5,두산
2024-09-24,KIA,삼성,김도현,김대호,7,1,KIA
2024-09-25,LG,한화,최원태,이민우,2,4,한화
2024-09-25,KIA,롯데,양현종,박진,2,5,롯데
2024-09-25,NC,SSG,하트,노경은,2,8,SSG
2024-09-25,삼성,키움,레예스,하영민,6,3,삼성
2024-09-26,롯데,두산,박세웅,곽빈,3,4,두산
2024-09-26,NC,SSG,요키시,엘리아스,1,10,SSG
2024-09-26,LG,키움,백승현,양지율,6,3,LG
2024-09-27,한화,KIA,와이스,황동하,8,0,한화
2024-09-27,롯데,NC,한현희,임상현,13,6,롯데
2024-09-27,KT,키움,우규민,박범준,8,7,KT
2024-09-28,롯데,KIA,진승현,최지민,8,12,KIA
2024-09-28,삼성,LG,이승현,이종준,4,11,LG
2024-09-28,NC,두산,김재열,박치국,3,4,두산
2024-09-28,한화,SSG,이상규,김광현,2,6,SSG
2024-09-28,KT,키움,고영표,박승주,10,7,KT
2024-09-29,한화,NC,바리아,최성영,2,7,NC
2024-09-30,KIA,NC,이준영,손주환,10,5,KIA
2024-09-30,SSG,키움,앤더슨,윤석원,7,2,SSG
2024-10-01,NC,롯데,이재학,윌커슨,1,5,롯데
2024-10-01,KT,SSG,박영현,김광현,4,3,KT
2024-10-02,두산,KT,곽빈,쿠에바스,0,4,KT
2024-10-03,두산,KT,이병헌,벤자민,0,1,KT
2024-10-05,LG,KT,엔스,김민수,2,3,KT
2024-10-06,LG,KT,임찬규,엄상백,7,2,LG
2024-10-08,KT,LG,벤자민,손주영,5,6,LG
2024-10-09,KT,LG,박영현,백승현,6,5,KT
2024-10-11,LG,KT,임찬규,엄상백,4,1,LG
2024-10-13,삼성,LG,레예스,최원태,10,4,삼성
2024-10-15,삼성,LG,원태인,손주영,10,5,삼성
2024-10-17,LG,삼성,임찬규,이승현,1,0,LG
2024-10-19,LG,삼성,손주영,레예스,0,1,삼성
2024-10-23,KIA,삼성,곽도규,김태훈,5,1,KIA
2024-10-23,KIA,삼성,양현종,황동재,8,3,KIA
2024-10-25,삼성,KIA,레예스,라우어,4,2,삼성
2024-10-26,삼성,KIA,원태인,네일,2,9,KIA
2024-10-28,KIA,삼성,곽도규,이상민,7,5,KIA
2024-11-10,네덜란드,파나마,,,9,8,네덜란드
2024-11-10,미국,푸에르토리코,,,0,1,푸에르토리코
2024-11-10,멕시코,베네수엘라,,,4,8,베네수엘라
2024-11-11,파나마,베네수엘라,,,4,2,파나마
2024-11-11,미국,네덜란드,,,12,2,미국
2024-11-11,푸에르토리코,멕시코,,,5,7,멕시코
2024-11-12,멕시코,파나마,,,2,3,파나마
2024-11-12,베네수엘라,미국,,,5,3,베네수엘라
2024-11-13,푸에르토리코,네덜란드,,,8,20,네덜란드
2024-11-13,미국,파나마,,,9,3,미국
2024-11-13,일본,호주,,,9,3,일본
2024-11-13,쿠바,도미니카,,,1,6,도미니카
2024-11-13,차이니스 타이베이,대한민국,장이,고영표,6,3,차이니스 타이베이
2024-11-14,베네수엘라,푸에르토리코,,,5,2,베네수엘라
2024-11-14,네덜란드,멕시코,,,6,8,멕시코
2024-11-14,대한민국,쿠바,소형준,L.모이넬로,8,4,대한민국
2024-11-14,도미니카,차이니스 타이베이,,,1,2,차이니스 타이베이
2024-11-15,베네수엘라,네덜란드,,,11,0,베네수엘라
2024-11-15,파나마,푸에르토리코,,,4,3,파나마
2024-11-15,멕시코,미국,,,2,12,미국
2024-11-15,호주,도미니카,,,5,0,호주
2024-11-15,일본,대한민국,C.스미다,곽도규,6,3,일본
2024-11-16,쿠바,호주,,,4,3,쿠바
2024-11-16,차이니스 타이베이,일본,,,1,3,일본
2024-11-16,대한민국,도미니카,박영현,D.카스티요,9,6,대한민국
2024-11-17,일본,쿠바,,,7,6,일본
2024-11-17,호주,차이니스 타이베이,,,3,11,차이니스 타이베이
2024-11-18,대한민국,호주,소형준,S.켄트,5,2,대한민국
2024-11-18,도미니카,일본,,,3,11,일본
2024-11-18,차이니스 타이베이,쿠바,,,2,0,차이니스 타이베이
2024-11-21,베네수엘라,차이니스 타이베이,,,2,0,베네수엘라
2024-11-21,일본,미국,,,9,1,일본
2024-11-22,미국,차이니스 타이베이,,,2,8,차이니스 타이베이
2024-11-22,일본,베네수엘라,,,9,6,일본
2024-11-23,베네수엘라,미국,,,5,6,미국
2024-11-23,일본,차이니스 타이베이,,,9,6,일본
2024-11-24,베네수엘라,미국,,,1,6,미국
2024-11-24,일본,차이니스 타이베이,,,0,4,차이니스 타이베이
2025-03-08,롯데,KIA,정현수,조상우,4,3,롯데
2025-03-08,KT,LG,고영표,치리노스,5,1,KT
2025-03-08,한화,두산,엄상백,최승용,4,6,두산
2025-03-08,삼성,SSG,육선엽,앤더슨,3,9,SSG
2025-03-08,NC,키움,로건,정현우,1,3,키움
2025-03-09,롯데,KIA,,,0,0,KIA
2025-03-09,KT,LG,주권,우강훈,9,4,KT
2025-03-09,한화,두산,이상규,최원준,2,4,두산
2025-03-09,삼성,SSG,백정현,김광현,7,0,삼성
2025-03-09,NC,키움,라일리,로젠버그,7,2,NC
2025-03-10,SSG,한화,송영진,폰세,1,3,한화
2025-03-10,NC,KIA,최성영,김태형,6,3,NC
2025-03-10,롯데,LG,박준우,박명근,2,8,LG
2025-03-10,삼성,두산,이재익,이영하,5,8,두산
2025-03-10,KT,키움,헤이수스,하영민,7,4,KT
2025-03-11,SSG,한화,정동윤,와이스,0,8,한화
2025-03-11,NC,KIA,이용찬,양현종,10,17,KIA
2025-03-11,롯데,LG,박세현,심창민,3,2,롯데
2025-03-11,삼성,두산,송은범,김호준,11,8,삼성
2025-03-11,KT,키움,쿠에바스,김윤하,5,9,키움
2025-03-13,롯데,한화,,,3,3,한화
2025-03-13,두산,KIA,최준호,김대유,1,4,KIA
2025-03-13,삼성,LG,오승환,우강훈,5,10,LG
2025-03-13,NC,KT,신영우,고영표,5,10,KT
2025-03-13,SSG,키움,문승원,정현우,6,7,키움
2025-03-14,롯데,한화,박준우,엄상백,0,2,한화
2025-03-14,두산,KIA,,,3,3,KIA
2025-03-14,NC,KT,김시훈,김민수,0,1,KT
2025-03-14,삼성,LG,양창섭,이지강,5,3,삼성
2025-03-14,SSG,키움,박종훈,김서준,5,3,SSG
2025-03-15,SSG,LG,앤더슨,치리노스,4,9,LG
2025-03-15,키움,두산,로젠버그,김유성,3,2,키움
2025-03-15,KIA,삼성,김도현,김대호,5,1,KIA
2025-03-16,NC,한화,라일리,폰세,3,5,한화
2025-03-16,SSG,LG,김민,우강훈,8,1,SSG
2025-03-16,키움,두산,,,2,2,두산
2025-03-16,KIA,삼성,황동하,후라도,11,5,KIA
2025-03-17,키움,롯데,김윤하,박세웅,4,3,키움
2025-03-17,LG,NC,에르난데스,임정호,3,0,LG
2025-03-17,KT,두산,쿠에바스,홍민규,9,6,KT
2025-03-17,한화,삼성,와이스,백정현,3,1,한화
2025-03-18,키움,롯데,원종현,김원중,3,2,키움
2025-03-22,KT,한화,김민수,박상원,3,4,한화
2025-03-22,LG,롯데,치리노스,반즈,12,2,LG
2025-03-22,KIA,NC,전상현,전사민,9,2,KIA
2025-03-22,SSG,두산,조병현,이영하,6,5,SSG
2025-03-22,삼성,키움,후라도,로젠버그,13,5,삼성
2025-03-23,KT,한화,손동현,한승혁,5,4,KT
2025-03-23,LG,롯데,손주영,박세웅,10,2,LG
2025-03-23,KIA,NC,양현종,라일리,4,5,NC
2025-03-23,SSG,두산,김광현,잭로그,5,2,SSG
2025-03-23,삼성,키움,양창섭,하영민,11,7,삼성
2025-03-25,LG,한화,에르난데스,박상원,5,0,LG
2025-03-25,SSG,롯데,조병현,박준우,2,3,롯데
2025-03-25,삼성,NC,최원태,최성영,14,5,삼성
2025-03-25,KT,두산,김민수,김호준,8,3,KT
2025-03-25,KIA,키움,올러,김윤하,11,6,KIA
2025-03-26,LG,한화,임찬규,엄상백,4,0,LG
2025-03-26,SSG,롯데,송영진,김진욱,3,1,SSG
2025-03-26,삼성,NC,이승현,신민혁,6,8,NC
2025-03-26,KT,두산,소형준,최승용,2,3,두산
2025-03-26,KIA,키움,윤영철,정현우,10,17,키움
2025-03-27,LG,한화,박명근,한승혁,2,1,LG
2025-03-27,SSG,롯데,김건우,박준우,5,2,SSG
2025-03-27,삼성,NC,이재희,손주환,5,11,NC
2025-03-27,KT,두산,오원석,김유성,4,3,KT
2025-03-27,KIA,키움,정해영,주승우,3,5,키움
2025-03-28,한화,KIA,폰세,전상현,7,2,한화
2025-03-28,롯데,KT,반즈,헤이수스,0,2,KT
2025-03-28,NC,LG,한재승,백승현,4,8,LG
2025-03-28,키움,SSG,로젠버그,앤더슨,9,3,키움
2025-03-28,두산,삼성,콜어빈,후라도,2,0,두산
2025-03-29,한화,KIA,김종수,조상우,5,4,한화
2025-03-29,키움,SSG,하영민,김광현,3,1,키움
2025-03-29,롯데,KT,박세웅,쿠에바스,3,1,롯데
2025-03-29,NC,LG,라일리,손주영,4,14,LG
2025-03-29,두산,삼성,잭로그,김태훈,2,13,삼성
2025-03-30,한화,KIA,이태양,황동하,3,5,KIA
2025-03-30,롯데,KT,,,4,4,KT
2025-03-30,키움,SSG,김윤하,문승원,2,8,SSG
2025-03-30,두산,삼성,최원준,레예스,2,3,삼성
2025-04-02,KT,LG,김민수,에르난데스,9,5,KT
2025-04-02,한화,롯데,문동주,김진욱,2,6,롯데
2025-04-02,KIA,삼성,전상현,백정현,2,4,삼성
2025-04-02,두산,키움,이영하,박윤성,5,3,두산
2025-04-03,KT,LG,헤이수스,임찬규,1,5,LG
2025-04-03,한화,롯데,박상원,박진,2,4,롯데
2025-04-03,KIA,삼성,네일,후라도,3,1,KIA
2025-04-03,두산,키움,콜어빈,로젠버그,6,1,두산
2025-04-04,삼성,한화,원태인,와이스,5,0,삼성
2025-04-04,LG,KIA,송승기,양현종,8,2,LG
2025-04-04,SSG,KT,한두솔,최동환,3,2,SSG
2025-04-04,키움,NC,하영민,로건,5,1,키움
2025-04-04,롯데,두산,반즈,잭로그,3,15,두산
2025-04-05,삼성,한화,김재윤,박상원,6,7,한화
2025-04-05,키움,NC,김성민,최성영,5,7,NC
2025-04-05,롯데,두산,박세웅,최원준,6,1,롯데
2025-04-06,삼성,한화,레예스,엄상백,10,0,삼성
2025-04-06,LG,KIA,치리노스,올러,5,1,LG
2025-04-06,SSG,KT,조병현,박영현,1,0,SSG
2025-04-06,키움,NC,김선기,전사민,2,8,NC
2025-04-06,롯데,두산,박준우,홍민규,12,15,두산
2025-04-08,두산,한화,최지강,이상규,6,5,두산
2025-04-08,롯데,KIA,정철원,조상우,4,5,KIA
2025-04-08,키움,LG,윤현,손주영,1,13,LG
2025-04-08,KT,NC,고영표,목지훈,3,2,KT
2025-04-08,삼성,SSG,최원태,송영진,7,3,삼성
2025-04-09,두산,한화,콜어빈,폰세,4,5,한화
2025-04-09,롯데,KIA,나균안,네일,1,3,KIA
2025-04-09,키움,LG,로젠버그,에르난데스,4,0,키움
2025-04-09,KT,NC,손동현,로건,4,1,KT
2025-04-09,삼성,SSG,이호성,조병현,1,3,SSG
2025-04-10,두산,한화,잭로그,와이스,2,7,한화
2025-04-10,롯데,KIA,반즈,윤영철,8,3,롯데
2025-04-10,키움,LG,하영민,임찬규,3,7,LG
2025-04-10,KT,NC,오원석,라일리,0,7,NC
2025-04-10,삼성,SSG,김재윤,김건우,3,2,삼성
2025-04-11,NC,롯데,전사민,박세웅,5,7,롯데
2025-04-11,LG,두산,김강률,최지강,5,2,LG
2025-04-11,KIA,SSG,양현종,최민준,3,9,SSG
2025-04-11,KT,삼성,쿠에바스,이승현,5,3,KT
2025-04-11,한화,키움,류현진,김윤하,12,2,한화
2025-04-12,LG,두산,치리노스,김유성,4,0,LG
2025-04-12,NC,롯데,신민혁,데이비슨,0,2,롯데
2025-04-12,한화,키움,엄상백,정현우,2,6,키움
2025-04-13,NC,롯데,손주환,김진욱,9,6,NC
2025-04-13,LG,두산,손주영,박치국,2,9,두산
2025-04-13,KIA,SSG,올러,문승원,11,5,KIA
2025-04-13,KT,삼성,소형준,레예스,6,5,KT
2025-04-13,한화,키움,문동주,조영건,7,1,한화
2025-04-15,SSG,한화,앤더슨,폰세,0,2,한화
2025-04-15,KIA,KT,조상우,원상현,1,0,KIA
2025-04-15,LG,삼성,에르난데스,후라도,3,0,LG
2025-04-15,롯데,키움,정철원,박윤성,8,6,롯데
2025-04-16,SSG,한화,김광현,와이스,4,10,한화
2025-04-16,KIA,KT,김도현,오원석,0,3,KT
2025-04-16,LG,삼성,임찬규,최원태,12,2,LG
2025-04-16,롯데,키움,반즈,하영민,6,4,롯데
2025-04-17,SSG,한화,이로운,류현진,2,4,한화
2025-04-17,KIA,KT,정해영,박영현,5,4,KIA
2025-04-17,LG,삼성,송승기,원태인,3,6,삼성
2025-04-17,롯데,키움,박세웅,김윤하,7,1,롯데
2025-04-18,두산,KIA,콜어빈,윤영철,7,1,두산
2025-04-18,키움,KT,주승우,우규민,4,3,키움
2025-04-18,SSG,LG,박종훈,치리노스,1,5,LG
2025-04-18,삼성,롯데,이승현,데이비슨,1,8,롯데
2025-04-18,한화,NC,엄상백,로건,12,4,한화
2025-04-19,두산,KIA,이영하,올러,4,8,KIA
2025-04-19,SSG,LG,송영진,이지강,4,11,LG
2025-04-19,키움,KT,김선기,소형준,1,11,KT
2025-04-19,삼성,롯데,이호성,김진욱,10,3,삼성
2025-04-19,한화,NC,문동주,라일리,7,2,한화
2025-04-20,두산,KIA,최지강,최지민,2,6,KIA
2025-04-20,키움,KT,로젠버그,고영표,0,5,KT
2025-04-20,SSG,LG,앤더슨,김주온,9,3,SSG
2025-04-20,삼성,롯데,이재희,정철원,3,4,롯데
2025-04-20,한화,NC,폰세,이용찬,7,1,한화
2025-04-22,LG,NC,장현식,류진욱,5,6,NC
